Nombreaula;EstadoAula
Rectoria;1
Secretaria / Rectoria;1
Secretaria /academica;1
Secretaria Academica 2;1
Pagaduria;1
Orientacion escolar;1
Coordinacion 1;1
Coordinacion 2;1
Coordinacion 3;1
Coordinacion 4;1
Sala de Profesores;1
Biblioteca;1
Tables;1
Sala/Tecnologia/Ciencia;1
Ludoteca;1
Porteria;1
Banda;1
Corredor;1
Salon 1;1
Salon  2;1
Salon 3 ;1
Salon 4;1
Salon 5;1
Salon 6 ;1
Salon 7;1
Salon 8;1
Salon 9 ;1
Salon 10 ;1
Salon 11/Sistemas III;1
Salon 12/Sistemas V;1
Salon 13/Sistemas II;1
Salon 14/Sistemas IV ;1
Salon 15/Sistemas I ;1
Salon 16;1
Salon 17;1
Salon 18.2P;1
Salon 19;1
Salon 20;1
Salon 21;1
Salon 22 3P;1
Salon 23 3P;1
Salon 24 ;1
Salon 25 Danzas / Emprendimiento;1
Salon ;1
